"R_group"	"Substitution count"	"R-group to search for"	"Isostere substitution"	"Reaction (SMARTS)"
"C1CC1[*]"	738	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C1CC1[*]"	729	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CC1[*]"	687	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CC1[*]"	592	"[#6]1-[#6]-[#6]-1-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C1CC1[*]"	586	"[#6]1-[#6]-[#6]-1-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"C1CC1[*]"	355	"[#6]1-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[*:1]"
"C1CC1[*]"	351	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#8&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"C1CC1[*]"	338	"[#6]1-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C1CC1[*]"	336	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C1CC1[*]"	310	"[#6]1-[#6]-[#6]-1-*"	"[#6]1:[#6](-[#9&D1]):[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1:[#6](-[#9&D1]):[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CC1[*]"	265	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C1CC1[*]"	255	"[#6]1-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-[*:1]"
"C1CC1[*]"	238	"[#6]1-[#6]-[#6]-1-*"	"[#17&D1]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#17&D1]-[*:1]"
"C1CC1[*]"	219	"[#6]1-[#6]-[#6]-1-*"	"[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C1CC1[*]"	211	"[#6]1-[#6]-[#6]-1-*"	"[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CC1[*]"	2193	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[*:1]"
"C1CC1[*]"	1569	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C1CC1[*]"	1809	"[#6]1-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C1CC1[*]"	586	"[#6]1-[#6]-[#6]-1-*"	"[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#9&D1]-[#6&D4](-[#9&D1])(-[#9&D1])-[*:1]"
"C1CC1[*]"	338	"[#6]1-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C1CC1[*]"	592	"[#6]1-[#6]-[#6]-1-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C1CC1[*]"	738	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C1CC1[*]"	687	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CC1[*]"	265	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C1CC1[*]"	113	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-[*:1]"
"C1CC1[*]"	729	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CC1[*]"	53	"[#6]1-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D4](-[#6&D1])(-[#6&D1])-[#8&D2]-[*:1]"
"C1CC1[*]"	336	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C1CC1[*]"	193	"[#6]1-[#6]-[#6]-1-*"	"[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C1CC1[*]"	180	"[#6]1-[#6]-[#6]-1-*"	"[#8&D1]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-1-[*:1]>>[#8&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	2987	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	1667	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C1CCCCC1[*]"	1331	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	1070	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	991	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[*:1]"
"C1CCCCC1[*]"	697	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C1CCCCC1[*]"	687	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	593	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6](-[#9&D1]):[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6](-[#9&D1]):[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	593	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6](-[#17&D1]):[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6](-[#17&D1]):[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	589	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	576	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6](-[#8&D2]-[#6&D1]):[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6](-[#8&D2]-[#6&D1]):[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	516	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	491	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	484	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	478	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	467	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	456	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6](-[#6&D1]):[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6](-[#6&D1]):[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	411	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	379	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#8]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	379	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	2987	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	589	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	1667	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[*:1]"
"C1CCCCC1[*]"	1070	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	491	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D3](-[#6&D1])(-[#6&D1])-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	697	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D4](-[#6&D1])(-[#6&D1])(-[#6&D1])-[*:1]"
"C1CCCCC1[*]"	484	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	687	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	516	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	75	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]-,=,:1-,=,:[#7H]-,=,:[#6]-,=,:[#6]-,=,:2-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]-,=,:1-,=,:[#7H]-,=,:[#6]-,=,:[#6]-,=,:2-[*:1]"
"C1CCCCC1[*]"	340	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#7]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	299	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#7]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	176	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6&D2]-[#6&D3](-[#6&D1])-[*:1]"
"C1CCCCC1[*]"	197	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"C1CCCCC1[*]"	314	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#7]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#7]:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	36	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#7H]1-,=,:[#6]-,=,:[#7]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C1CCCCC1[*]"	379	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6&D2]-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	249	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:[#6]:[#6]:1-[*:1]"
"C1CCCCC1[*]"	1331	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-1-[*:1]"
"C1CCCCC1[*]"	351	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#16]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C1CCCCC1[*]"	170	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	411	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6&D2]-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6&D2]-[*:1]"
"C1CCCCC1[*]"	200	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#8]1-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:[#6]-,=,:1-[*:1]"
"C1CCCCC1[*]"	233	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6]12:[#6]:[#6]:[#6]:[#6]:[#6]:1:[#6]:[#6]:[#6]:[#6]:2-[*:1]"
"C1CCCCC1[*]"	263	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-*"	"[#6&D1]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[*:1]>>[#6&D1]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1COCCN1[*]"	1752	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"C1COCCN1[*]"	1679	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[#7&D3](-[#6&D1])-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6&D1]-[#7&D3](-[#6&D1])-[*:1]"
"C1COCCN1[*]"	1504	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#7](-[#6&D1])-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1-[#6]-[#7](-[#6&D1])-[#6]-[#6]-[#7]-1-[*:1]"
"C1COCCN1[*]"	1390	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1-[#6]-[#6]-[#6]-[#7]-1-[*:1]"
"C1COCCN1[*]"	722	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6&D1]-[#6&D2]-[#7&D3](-[#6&D2]-[#6&D1])-[*:1]"
"C1COCCN1[*]"	687	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[#8&D2]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6&D1]-[#8&D2]-[*:1]"
"C1COCCN1[*]"	667	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#8&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#8&D1]-[*:1]"
"C1COCCN1[*]"	570	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#7&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#7&D1]-[*:1]"
"C1COCCN1[*]"	454	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-[#7&D2]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6&D1]-[#7&D2]-[*:1]"
"C1COCCN1[*]"	448	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[*:1]"
"C1COCCN1[*]"	413	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#7]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1-[#6]-[#7]-[#6]-[#6]-[#7]-1-[*:1]"
"C1COCCN1[*]"	337	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6&D1]-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6&D1]-[*:1]"
"C1COCCN1[*]"	265	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#6](-[#8&D1])-[#6]-[#6]-[#7]-1-*"	"[#6]1-[#6]-[#8]-[#6]-[#6]-[#7]-1-[*:1]>>[#6]1-[#6]-[#6](-[#8&D1])-[#6]-[#6]-[#7]-1-[*:1]"
